Month,Month_Name,TempMax_C,Rain_mm,Sunlight_h,Month_Label,Date,Nutrient,Ulva lactuca,Hypnea musciformis,Caulerpa racemosa
2015-JAN,JAN,28.72,0.44,15.46,JAN,2015-01-01,2.4363502971184063,0.673473465904951,0.7054519576409709,0.45067539375032134
2015-FEB,FEB,32.76,0.55,18.52,FEB,2015-02-01,1.5514612357395061,1.1116269057646742,1.0760577133404414,0.7587631071055568
2015-MAR,MAR,35.7,0.72,20.75,MAR,2015-03-01,3.0296322368059485,1.6144040412979361,1.4805935631735891,1.2136389031147103
2015-APR,APR,38.82,3.96,21.37,APR,2015-04-01,3.018862129753596,1.968770425907898,1.7478291829382935,1.5400828008711414
2015-MAY,MAY,39.92,0.65,22.06,MAY,2015-05-01,1.8050955871119472,2.1391307686204564,1.8755592204137332,1.6606370173822502
2015-JUN,JUN,35.64,5.72,18.55,JUN,2015-06-01,3.9239615694113965,2.430255157462061,2.080103204409273,2.1617722604826626
2015-JUL,JUL,32.76,6.51,13.67,JUL,2015-07-01,2.471693224223705,4.812721714613665,11.65914416035431,2.457166519848907
2015-AUG,AUG,32.0,8.37,17.64,AUG,2015-08-01,3.4306119232416434,5.004063468051129,11.054794423778606,2.910225320884753
2015-SEP,SEP,31.82,6.16,15.68,SEP,2015-09-01,3.657758564688984,5.147837322657276,10.477735249438883,3.352816188876956
2015-OCT,OCT,32.49,2.37,16.92,OCT,2015-10-01,1.7989856148457544,5.180350654008687,9.917546802375334,3.4178986574338803
2015-NOV,NOV,29.67,1.03,14.87,NOV,2015-11-01,1.5785729642168356,5.227329316782086,9.76599206566125,3.4097582445392245
2015-DEC,DEC,29.85,1.39,12.49,DEC,2015-12-01,2.22437863228442,17.385674113785832,28.62100396636604,3.509728146866151
2016-JAN,JAN,31.84,1.19,14.26,JAN,2016-01-01,3.87678576602479,16.25826600902399,30.301578489326914,3.93166327782421
2016-FEB,FEB,35.38,0.4,16.87,FEB,2016-02-01,3.9247746304049858,15.1441573073309,27.66963935408313,4.214340304700684
2016-MAR,MAR,38.55,0.32,19.12,MAR,2016-03-01,1.8487346516301046,14.034936360721428,25.244387760878357,4.096501975496878
2016-APR,APR,40.09,0.15,22.52,APR,2016-04-01,1.9263103092182288,13.006106959596126,23.03023528298043,3.9727969410557975
2016-MAY,MAY,39.44,3.82,21.34,MAY,2016-05-01,2.7379422752781757,12.177319507177815,21.139383046161505,3.972704832717674
2016-JUN,JUN,34.75,6.19,19.71,JUN,2016-06-01,3.4378320584027864,11.550844521691033,19.508756383149958,4.195278284564864
2016-JUL,JUL,32.45,7.11,15.66,JUL,2016-07-01,2.1783725794347397,10.998782800185952,18.10827394423454,4.2429776727431046
2016-AUG,AUG,32.36,8.35,14.8,AUG,2016-08-01,1.996789203835431,10.478023288646295,17.605466132380414,4.255895437162643
2016-SEP,SEP,31.46,7.48,15.62,SEP,2016-09-01,3.058245317068895,10.174725953293335,16.48538319570408,4.448649857434796
2016-OCT,OCT,31.59,3.37,17.73,OCT,2016-10-01,3.2831119680574874,9.863956390461755,15.435008915566563,4.664848659294843
2016-NOV,NOV,28.97,1.6,15.41,NOV,2016-11-01,3.091026028159451,9.630636630487695,14.603321945438973,4.7561698364061264
2016-DEC,DEC,27.91,0.0,14.43,DEC,2016-12-01,1.903053218135011,9.239854242494753,17.54825864610306,4.634958701454908
2017-JAN,JAN,29.72,0.01,15.72,JAN,2017-01-01,3.3299848545285125,9.05470257438003,16.437698926835296,4.787664839015782
2017-FEB,FEB,34.27,0.0,18.85,FEB,2017-02-01,3.5811066020010545,8.735495741841344,15.26952053370611,4.965805365940003
2017-MAR,MAR,36.29,2.23,21.03,MAR,2017-03-01,2.2303616213380453,8.368506589642713,14.19165998926234,4.867857626061358
2017-APR,APR,38.67,0.85,22.65,APR,2017-04-01,1.6626289824631988,7.914444610893637,13.090484359804726,4.65868934690772
2017-MAY,MAY,38.69,1.07,22.77,MAY,2017-05-01,1.585971302788046,7.497318178274501,12.090446574158495,4.460288288152215
2017-JUN,JUN,39.05,6.7,14.61,JUN,2017-06-01,3.848747353910473,7.17134623055987,12.434037488521312,4.560268849327976
2017-JUL,JUL,32.96,13.16,13.61,JUL,2017-07-01,3.5718437728798236,9.499224380770622,20.090122431801657,4.799169968300001
2017-AUG,AUG,31.47,8.66,17.2,AUG,2017-08-01,1.513805292809006,9.078452909348254,18.545397044132898,4.669356750893908
2017-SEP,SEP,32.13,5.77,17.39,SEP,2017-09-01,2.327245062131623,8.80397782366751,17.274910334590906,4.702319887901419
2017-OCT,OCT,31.03,8.19,16.16,OCT,2017-10-01,3.4019626215422436,8.628955759455208,16.141226333017308,4.8977338189195585
2017-NOV,NOV,28.47,3.93,15.13,NOV,2017-11-01,2.285889952690817,8.40983514152347,15.210628621272367,4.830383898743017
2017-DEC,DEC,26.85,0.74,14.01,DEC,2017-12-01,3.8242441308564326,8.15278932811216,20.701655487669218,4.951138115288299
2018-JAN,JAN,29.56,0.0,16.34,JAN,2018-01-01,2.9966462104925915,8.122903233251012,19.34271709754018,5.014451654116656
2018-FEB,FEB,33.69,0.0,19.1,FEB,2018-02-01,2.0308477766956905,7.860356053102777,17.90141891104698,4.931252517579664
2018-MAR,MAR,36.3,0.07,19.61,MAR,2018-03-01,2.4159046082342295,7.602815911305972,16.58435787285293,4.863633345689951
2018-APR,APR,38.27,3.66,22.51,APR,2018-04-01,3.8722138431333333,7.284504639563402,15.260909618349134,4.951487429185801
2018-MAY,MAY,37.26,3.73,21.35,MAY,2018-05-01,3.7733010051969553,7.035936672681021,14.106598183042527,5.049536173951598
2018-JUN,JUN,38.3,5.81,16.17,JUN,2018-06-01,3.737068376069122,6.787965137378651,13.045623058470383,5.100109299196612
2018-JUL,JUL,32.55,15.92,13.7,JUL,2018-07-01,2.3918833167339733,8.475515354697057,21.201557592583615,5.092429212072593
2018-AUG,AUG,31.86,11.83,14.53,AUG,2018-08-01,3.5386535711370852,8.288671379956234,22.297157356901362,5.29698091462334
2018-SEP,SEP,31.44,7.84,17.37,SEP,2018-09-01,1.6588958757150591,8.01150719768443,20.557265781250408,5.142131114470347
2018-OCT,OCT,31.92,5.97,17.15,OCT,2018-10-01,2.9031929939237404,7.9346169214344515,19.153604908808795,5.230913383872615
